Id,proj_id,repo_name,owner_login,language,n_pr,n_ci_after,n_ci_after_tested
678,4274814,ember-app-kit,stefanpenner,JavaScript,311,279,232
683,3094,qunit,jquery,JavaScript,282,121,120
684,10610,statsd,etsy,JavaScript,307,249,240
687,9682677,coderwall,assemblymade,JavaScript,241,239,226
692,21571,casperjs,n1k0,JavaScript,291,289,218
699,3486982,streamhub-sdk,Livefyre,JavaScript,285,247,226
711,9972987,ng-cordova,driftyco,JavaScript,211,29,20
728,2653822,login.webmaker.org,mozilla,JavaScript,287,277,268
738,2760274,appium-dot-app,appium,JavaScript,253,182,174
739,7149279,gulp,gulpjs,JavaScript,249,249,247
742,8193585,ratchet,twbs,JavaScript,270,117,116
743,6504,KunstmaanAdminBundle,Kunstmaan,JavaScript,280,232,169
750,5433,hallway,Singly,JavaScript,280,227,219
751,785823,remoteStorage.js,RemoteStorage,JavaScript,265,245,39
752,2254383,selenium,SeleniumHQ,JavaScript,249,69,1
757,121,propelorm.github.com,propelorm,JavaScript,267,76,73
758,1341241,tracing-framework,google,JavaScript,274,273,236
760,395042,jquery.ime,wikimedia,JavaScript,272,54,9
761,6770092,genshyft,ChrisBoesch,JavaScript,274,274,269
767,10559,Sinon.JS,cjohansen,JavaScript,241,182,170
769,2847808,ui-router,angular-ui,JavaScript,255,250,233
772,4846,handlebars.js,wycats,JavaScript,254,204,175
773,66318,player,Animatron,JavaScript,237,180,176
787,8991,bem-tools,bem,JavaScript,258,245,204
789,2279094,SpiderOakMobileClient,SpiderOak,JavaScript,245,245,233
793,9098258,cheerio,cheeriojs,JavaScript,238,226,208
794,457398,phantomas,macbre,JavaScript,217,167,166
795,773732,titanium-code-processor,appcelerator,JavaScript,259,1,1
796,8497,nvd3,novus,JavaScript,219,0,0
800,3240873,skylines,skylines-project,JavaScript,243,231,227
803,234223,geoext2,geoext,JavaScript,223,49,48
809,1843,bitcoinjs-lib,bitcoinjs,JavaScript,219,185,183
810,2876,async,caolan,JavaScript,243,34,33
821,884722,angular-leaflet-directive,tombatossals,JavaScript,218,122,116
822,11247,yeoman.io,yeoman,JavaScript,216,146,40
829,2717829,typeahead.js,twitter,JavaScript,246,246,243
834,738258,turtle.io,avoidwork,JavaScript,244,244,235
836,5483,node-restify,mcavage,JavaScript,232,221,167
841,62039,wymeditor,wymeditor,JavaScript,192,105,104
844,619818,frontend,bountysource,JavaScript,241,215,206
851,14952,node-postgres,brianc,JavaScript,224,178,170
853,5932962,cylon,hybridgroup,JavaScript,218,218,135
856,10146,node-http-proxy,nodejitsu,JavaScript,221,146,134
857,525,html5please,h5bp,JavaScript,220,0,0
859,24393,nodeclub,cnodejs,JavaScript,223,197,179
864,40889,Claroline,claroline,JavaScript,229,165,162
881,7172,dustjs,linkedin,JavaScript,216,215,162
891,53260,notification_server,telefonicaid,JavaScript,207,207,180
896,7905617,webmaker-events-2,mozilla,JavaScript,213,80,79
900,982592,flowplayer,flowplayer,JavaScript,199,43,1
904,11388911,macovei,readfwd,JavaScript,213,213,199
905,1369530,Laravel-Administrator,FrozenNode,JavaScript,202,148,145
909,3143000,ember-model,ebryn,JavaScript,216,216,215
916,3719,flot,flot,JavaScript,209,108,104
918,22906,node-mysql,felixge,JavaScript,204,170,137
924,2749024,assemble,assemble,JavaScript,209,181,177
928,8860,onyx,enyojs,JavaScript,201,54,54
