geotools	1470604		0sec	1453	0.0009880294083247428		30sec	1838	0.001249826601858828		1min	1291	0.0008778705892272835		5min	5790	0.003937157793668452		10min	6314	0.004293473973958999		>10min	1453551	0.9884040843082162				
droidplanner	744759		0sec	21177	0.02843470169544779		30sec	123036	0.16520243461307618		1min	56029	0.0752310478960308		5min	93314	0.12529422269485835		10min	67973	0.09126845059945567		>10min	383140	0.5144482980400371				
zanata-server	807738		0sec	4436	0.00549187979270506		30sec	35688	0.04418264338188868		1min	25657	0.03176401258824025		5min	89637	0.1109728649636392		10min	69023	0.0854522134652573		>10min	582869	0.7216065110221384				
vraptor4	59258		0sec	477	0.008049546052853624		30sec	2082	0.03513449660805292		1min	773	0.013044652198859226		5min	5349	0.09026629315872962		10min	6167	0.10407033649465051		>10min	44327	0.7480340207229403				
cat	228570		0sec	411	0.0017981362383514897		30sec	16645	0.07282233013956337		1min	7436	0.032532703329395805		5min	29340	0.1283633022706392		10min	19623	0.08585116156975982		>10min	154999	0.6781248632803955				
fcrepo4	31717		0sec	1100	0.034681716429674936		30sec	442	0.013935744238105749		1min	350	0.011035091591260208		5min	1449	0.04568527918781726		10min	767	0.024182615001418797		>10min	26932	0.8491345335309141				
cas	316423		0sec	219	0.0006921115089611058		30sec	14553	0.045992231917401705		1min	8548	0.027014471135157685		5min	25878	0.08178292981230821		10min	26215	0.08284795985121182		>10min	241003	0.7616481734892849				
grails-core	2013393		0sec	3006	0.0014930021113612692		30sec	166761	0.082825856650937		1min	89520	0.04446225848604818		5min	260169	0.12921918373611113		10min	137441	0.06826337431390692		>10min	1355966	0.6734730874697588				
fizteh-java-2014	1954158		0sec	193	9.876376424014844e-05		30sec	138749	0.07100193536039563		1min	102850	0.05263136348237962		5min	405606	0.20756049408492047		10min	294326	0.15061525219557476		>10min	1005049	0.5143130698745956				
dropwizard	30589		0sec	624	0.020399490012749683		30sec	1762	0.05760240609369381		1min	413	0.013501585537284646		5min	2495	0.08156526856059368		10min	1948	0.06368302330903265		>10min	23160	0.7571349177809016				
junit	20709		0sec	182	0.008788449466415568		30sec	520	0.025109855618330193		1min	193	0.009319619489111015		5min	765	0.03694046066927423		10min	1030	0.04973682939784635		>10min	17935	0.8660485779129847				
Spout	2121374		0sec	4448	0.002096754273409592		30sec	359497	0.16946422460160254		1min	156843	0.07393462916015751		5min	297007	0.14000690118762651		10min	144972	0.06833872763595669		>10min	1156297	0.5450698462411626				
BridgePF	393387		0sec	1452	0.0036910218182095492		30sec	5730	0.014565809241281487		1min	4059	0.010318083719085786		5min	22049	0.05604913227940934		10min	19377	0.049256838685569175		>10min	339601	0.8632745871114196				
