stan	2658765		0sec	1766	0.0006642181614396157		30sec	149125	0.05608807096527899		1min	94248	0.03544803696453053		5min	305838	0.11503009856079796		10min	154294	0.05803220668242586		>10min	1952923	0.734522607300758				
qt-client	344965		0sec	13	3.7684982534460016e-05		30sec	1722	0.004991810763410781		1min	3153	0.009140057687011725		5min	21001	0.060878639862014985		10min	10501	0.030440769353412667		>10min	308573	0.8945052396619947				
DGtal	337441		0sec	434	0.001286150764133582		30sec	7696	0.02280694995569596		1min	11050	0.0327464653080094		5min	35600	0.1054999244312339		10min	25001	0.07408998906475503		>10min	257567	0.7632949167410007				
cppcheck	60067		0sec	473	0.007874540096891805		30sec	973	0.016198578254282718		1min	819	0.013634774501806316		5min	3641	0.060615645862120635		10min	3199	0.05325719613098706		>10min	50850	0.846554680606656				
openmw	883433		0sec	4301	0.004868507289177561		30sec	15559	0.017611975101677207		1min	18615	0.021071207437349523		5min	68740	0.07781008859755069		10min	49113	0.05559335003333586		>10min	726025	0.8218223679667841				
ogs	185205		0sec	14232	0.07684457763019358		30sec	7057	0.038103722901649525		1min	2630	0.014200480548581302		5min	10516	0.05678032450527794		10min	7605	0.04106260630112578		>10min	141520	0.7641262384924813				
PDAL	357889		0sec	555	0.00155076015189067		30sec	27504	0.0768506436353171		1min	7053	0.019707227659972786		5min	25297	0.07068392713942032		10min	23490	0.06563487561785916		>10min	273890	0.765293149551956				
forgottenserver	60169		0sec	149	0.0024763582575744983		30sec	510	0.00847612557961741		1min	649	0.010786285296415097		5min	3036	0.05045787697984012		10min	2036	0.03383802290215892		>10min	53748	0.893283916967209				
OpenStudio	4067143		0sec	711	0.00017481558922319672		30sec	40791	0.010029399015475974		1min	65677	0.016148190511127834		5min	277973	0.06834601094675058		10min	254560	0.0625893901443839		>10min	3426485	0.8424795980864208				
nbites	1300335		0sec	4054	0.0031176581419403463		30sec	60637	0.04663182949009294		1min	46460	0.03572925438444709		5min	204012	0.15689187786224318		10min	137143	0.10546743723732731		>10min	845442	0.6501724555595289				
OpenMS	1165960		0sec	3973	0.003407492538337507		30sec	30525	0.026180143401145838		1min	18297	0.015692648118288792		5min	98370	0.08436824590895056		10min	67699	0.05806288380390408		>10min	945385	0.8108211259391402				
opentxs	48810		0sec	5812	0.1190739602540463		30sec	1217	0.02493341528375333		1min	898	0.018397869289080108		5min	3090	0.06330669944683466		10min	2245	0.04599467322270027		>10min	32255	0.6608276992419586				
fish-shell	101000		0sec	2342	0.023188118811881188		30sec	1368	0.013544554455445544		1min	4899	0.048504950495049506		5min	13145	0.13014851485148515		10min	6381	0.06317821782178218		>10min	72614	0.7189504950495049				
openscad	97843		0sec	2139	0.021861553713602405		30sec	5640	0.05764336743558558		1min	3533	0.036108868288993595		5min	10571	0.10804043212084666		10min	5336	0.05453634904898664		>10min	70329	0.7187943951023579				
znc	47619		0sec	520	0.01092001092001092		30sec	565	0.011865011865011864		1min	1135	0.023835023835023835		5min	9884	0.20756420756420757		10min	3231	0.06785106785106786		>10min	32207	0.6763476763476763				
